Landscape,ForestCover,Point,Forest300,Dist,coffee300,Branch,BranchReplicate,TotalFruits,CBB,Sub_Fruto,Bean,BeanSize,BeanDamage,BeanDamage_Percentage,Adults,Brood,id
P9,13.59,30,14.99,5,55.58,C,C9,58,5,2,b,10,0,0,0,0,P9_30_C9
P9,13.59,30,14.99,5,55.58,C,C9,58,5,3,a,9,0,0,0,0,P9_30_C9
P9,13.59,30,14.99,5,55.58,C,C9,58,5,3,b,9,0,0,0,0,P9_30_C9
P9,13.59,30,14.99,5,55.58,C,C9,58,5,4,a,11,11,100,9,1,P9_30_C9
P9,13.59,30,14.99,5,55.58,C,C9,58,5,4,b,11,11,100,0,0,P9_30_C9
P9,13.59,30,14.99,5,55.58,C,C9,58,5,5,a,10,0,0,0,0,P9_30_C9
P9,13.59,30,14.99,5,55.58,C,C9,58,5,5,b,10,0,0,0,0,P9_30_C9
P9,13.59,30,14.99,5,55.58,C,C10,17,2,1,a,10,0,0,0,0,P9_30_C10
P9,13.59,30,14.99,5,55.58,C,C10,17,2,1,b,10,0,0,0,0,P9_30_C10
P9,13.59,30,14.99,5,55.58,C,C10,17,2,2,a,6,0,0,0,0,P9_30_C10
P9,13.59,30,14.99,5,55.58,C,C10,17,2,2,b,6,0,0,0,0,P9_30_C10
P9,13.59,60,24.11,25,60.77,T,T3,31,4,1,a,10,10,100,1,0,P9_60_T3
P9,13.59,60,24.11,25,60.77,T,T3,31,4,1,b,10,10,100,0,0,P9_60_T3
P9,13.59,60,24.11,25,60.77,T,T3,31,4,2,a,10,10,100,0,0,P9_60_T3
P9,13.59,60,24.11,25,60.77,T,T3,31,4,2,b,10,10,100,0,0,P9_60_T3
P9,13.59,60,24.11,25,60.77,T,T3,31,4,3,a,11,11,100,0,0,P9_60_T3
P9,13.59,60,24.11,25,60.77,T,T3,31,4,3,b,11,11,100,0,0,P9_60_T3
P9,13.59,60,24.11,25,60.77,T,T3,31,4,4,a,10,10,100,0,0,P9_60_T3
P9,13.59,60,24.11,25,60.77,T,T3,31,4,4,b,10,10,100,0,0,P9_60_T3
P9,13.59,60,24.11,25,60.77,C,C4,37,1,1,a,11,11,100,0,0,P9_60_C4
P9,13.59,60,24.11,25,60.77,C,C4,37,1,1,b,11,0,0,0,0,P9_60_C4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,1,a,10,10,100,4,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,1,b,10,10,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,2,a,9,9,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,2,b,9,0,0,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,3,a,8,8,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,3,b,8,8,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,4,a,8,8,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,4,b,8,8,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,5,a,7,7,100,1,1,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,5,b,7,7,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,6,a,6,6,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,6,b,6,6,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,7,a,8,8,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,7,b,8,8,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,8,a,9,9,100,1,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,8,b,9,9,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,9,a,9,9,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,9,b,9,9,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,10,a,6,6,100,1,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,10,b,6,6,100,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,11,a,NA,NA,NA,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T4,43,11,11,b,NA,NA,NA,0,0,P2_10_T4
P2,43,10,7.42,36.06,74.61,T,T5,8,6,1,a,12,12,100,0,0,P2_10_T5
P2,43,10,7.42,36.06,74.61,T,T5,8,6,1,b,12,12,100,0,0,P2_10_T5
P2,43,10,7.42,36.06,74.61,T,T5,8,6,2,a,11,11,100,0,0,P2_10_T5
P2,43,10,7.42,36.06,74.61,T,T5,8,6,2,b,11,11,100,0,0,P2_10_T5
P2,43,10,7.42,36.06,74.61,T,T5,8,6,3,a,12,12,100,0,0,P2_10_T5
P2,43,10,7.42,36.06,74.61,T,T5,8,6,3,b,12,12,100,0,0,P2_10_T5
P2,43,10,7.42,36.06,74.61,T,T5,8,6,4,a,11,11,100,0,0,P2_10_T5
P2,43,10,7.42,36.06,74.61,T,T5,8,6,4,b,11,11,100,0,0,P2_10_T5
P2,43,10,7.42,36.06,74.61,T,T5,8,6,5,a,11,11,100,0,0,P2_10_T5
P2,43,10,7.42,36.06,74.61,T,T5,8,6,5,b,11,11,100,0,0,P2_10_T5
P2,43,10,7.42,36.06,74.61,T,T5,8,6,6,a,10,10,100,0,0,P2_10_T5
P2,43,10,7.42,36.06,74.61,T,T5,8,6,6,b,10,10,100,0,0,P2_10_T5
P2,43,10,7.42,36.06,74.61,T,T6,26,10,1,a,12,2,16.66666667,1,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,1,b,12,0,0,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,2,a,12,0,0,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,2,b,12,0,0,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,3,a,11,3,27.27272727,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,3,b,11,0,0,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,4,a,11,11,100,1,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,4,b,11,0,0,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,5,a,12,5,41.66666667,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,5,b,12,0,0,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,6,a,11,11,100,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,6,b,11,3,27.27272727,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,7,a,10,2,20,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,7,b,10,0,0,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,8,a,10,0,0,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,8,b,10,0,0,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,9,a,9,2,22.22222222,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,9,b,9,0,0,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,10,a,8,8,100,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T6,26,10,10,b,8,0,0,0,0,P2_10_T6
P2,43,10,7.42,36.06,74.61,T,T7,13,12,1,a,10,10,100,3,1,P2_10_T7
P2,43,10,7.42,36.06,74.61,T,T7,13,12,1,b,10,10,100,0,0,P2_10_T7
P2,43,10,7.42,36.06,74.61,T,T7,13,12,2,a,10,10,100,1,1,P2_10_T7
P2,43,10,7.42,36.06,74.61,T,T7,13,12,2,b,10,10,100,0,0,P2_10_T7
P2,43,10,7.42,36.06,74.61,T,T7,13,12,3,a,10,10,100,10,1,P2_10_T7
P2,43,10,7.42,36.06,74.61,T,T7,13,12,3,b,10,10,100,0,0,P2_10_T7
P2,43,10,7.42,36.06,74.61,T,T7,13,12,4,a,6,6,100,0,0,P2_10_T7
P2,43,10,7.42,36.06,74.61,T,T7,13,12,4,b,NA,NA,NA,NA,NA,P2_10_T7
P2,43,10,7.42,36.06,74.61,T,T7,13,12,5,a,8,8,100,6,1,P2_10_T7
P2,43,10,7.42,36.06,74.61,T,T7,13,12,5,b,NA,NA,NA,NA,NA,P2_10_T7
P2,43,10,7.42,36.06,74.61,T,T7,13,12,6,a,8,8,100,1,1,P2_10_T7
P2,43,10,7.42,36.06,74.61,T,T7,13,12,6,b,8,8,100,0,0,P2_10_T7
